url,coverage_state,bucket,target,fix
https://www.themodernwallet.com/auto-loan/refinance-calculator/,URL is unknown to Google,add internal links,src/data/spokes-auto.ts (aggregated into SPOKES via src/data/spokes.ts) -> src/pages/[category]/[slug].astro (spokesForCalc/getStaticPaths),"No action — already linked; ledger-suppressed (<30 days), awaiting Google recrawl."
https://www.themodernwallet.com/budget/student-budget-calculator/,URL is unknown to Google,add internal links,src/data/spokes-budget.ts (aggregated into SPOKES via src/data/spokes.ts) -> src/pages/[category]/[slug].astro (spokesForCalc/getStaticPaths),No code change needed — already linked; first-time submission queued (IndexNow) this run.
https://www.themodernwallet.com/compare/,URL is unknown to Google,add internal links,"src/data/comparisons.ts / comparisons-business.ts (merged via ...BUSINESS_COMPARISONS) -> src/pages/compare/index.astro, [slug].astro","No action — already linked; ledger-suppressed (<30 days), awaiting Google recrawl."
https://www.themodernwallet.com/compare/1031-exchange-vs-opportunity-zone/,URL is unknown to Google,add internal links,"src/data/comparisons.ts / comparisons-business.ts (merged via ...BUSINESS_COMPARISONS) -> src/pages/compare/index.astro, [slug].astro",No code change needed — already linked; first-time submission queued (IndexNow) this run.
https://www.themodernwallet.com/compare/1099-vs-w2/,URL is unknown to Google,add internal links,"src/data/comparisons.ts / comparisons-business.ts (merged via ...BUSINESS_COMPARISONS) -> src/pages/compare/index.astro, [slug].astro",No code change needed — already linked; first-time submission queued (IndexNow) this run.
https://www.themodernwallet.com/compare/15-year-vs-20-year-vs-30-year-mortgage/,URL is unknown to Google,add internal links,"src/data/comparisons.ts / comparisons-business.ts (merged via ...BUSINESS_COMPARISONS) -> src/pages/compare/index.astro, [slug].astro","No action — already linked; ledger-suppressed (<30 days), awaiting Google recrawl."
https://www.themodernwallet.com/compare/401k-vs-ira-beneficiary-rules/,URL is unknown to Google,add internal links,"src/data/comparisons.ts / comparisons-business.ts (merged via ...BUSINESS_COMPARISONS) -> src/pages/compare/index.astro, [slug].astro",No code change needed — already linked; first-time submission queued (IndexNow) this run.
https://www.themodernwallet.com/compare/403b-vs-401k/,URL is unknown to Google,add internal links,"src/data/comparisons.ts / comparisons-business.ts (merged via ...BUSINESS_COMPARISONS) -> src/pages/compare/index.astro, [slug].astro","No action — already linked; ledger-suppressed (<30 days), awaiting Google recrawl."
https://www.themodernwallet.com/compare/457b-vs-401k/,URL is unknown to Google,add internal links,"src/data/comparisons.ts / comparisons-business.ts (merged via ...BUSINESS_COMPARISONS) -> src/pages/compare/index.astro, [slug].astro","No action — already linked; ledger-suppressed (<30 days), awaiting Google recrawl."
https://www.themodernwallet.com/compare/457b-vs-403b/,URL is unknown to Google,add internal links,"src/data/comparisons.ts / comparisons-business.ts (merged via ...BUSINESS_COMPARISONS) -> src/pages/compare/index.astro, [slug].astro","No action — already linked; ledger-suppressed (<30 days), awaiting Google recrawl."
